dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,20.012662,17.122130,24.566132,8.011174,3.211849,-43.824235,5.875759
0.020000,20.160441,17.057703,24.727344,8.060621,2.472337,-36.975582,5.868873
0.020000,20.308550,16.992176,24.889301,8.097834,1.860660,-30.583852,5.864892
0.020000,20.456984,16.926042,25.051802,8.125045,1.360557,-25.005187,5.863643
0.020000,20.605774,16.859761,25.214687,8.144244,0.959917,-20.032008,5.864987
0.020000,20.754970,16.793761,25.377829,8.157125,0.644073,-15.792172,5.868813
0.020000,20.904644,16.728449,25.541132,8.165164,0.401930,-12.107168,5.875038
0.020000,21.054878,16.664211,25.704524,8.169593,0.221451,-9.023923,5.883599
0.020000,21.205763,16.601420,25.867953,8.171421,0.091390,-6.503051,5.894450
0.020000,21.357389,16.540442,26.031381,8.171400,-0.001040,-4.621538,5.907560
0.020000,21.509844,16.481637,26.194784,8.170184,-0.060770,-2.986486,5.922908
0.020000,21.663206,16.425364,26.358145,8.168019,-0.108292,-2.376067,5.940477
0.020000,21.817536,16.371983,26.521445,8.165030,-0.149432,-2.057001,5.960253
0.020000,21.972870,16.321860,26.684666,8.161035,-0.199760,-2.516408,5.982219
0.020000,22.129214,16.275362,26.847778,8.155578,-0.272831,-3.653586,6.006350
0.020000,22.286529,16.232857,27.010734,8.147808,-0.388500,-5.783427,6.032604
0.020000,22.444729,16.194714,27.173467,8.136670,-0.556914,-8.420704,6.060924
0.020000,22.603667,16.161289,27.335882,8.120741,-0.796430,-11.975812,6.091226
0.020000,22.763130,16.132925,27.497848,8.098295,-1.122314,-16.294185,6.123398
0.020000,22.922832,16.109932,27.659197,8.067458,-1.541860,-20.977279,6.157292
0.020000,23.082414,16.092580,27.819720,8.026124,-2.066669,-26.240496,6.192727
0.020000,23.241444,16.081077,27.979165,7.972284,-2.692039,-31.268488,6.229484
0.020000,23.399429,16.075562,28.137246,7.904018,-3.413269,-36.061467,6.267313
0.020000,23.555822,16.076085,28.293640,7.819738,-4.214012,-40.037180,0.022750
0.020000,23.710051,16.082603,28.448007,7.718320,-5.070915,-42.845127,0.061867
0.020000,23.861531,16.094970,28.599991,7.599202,-5.955906,-44.249571,0.101172
0.020000,24.009695,16.112944,28.749241,7.462488,-6.835688,-43.989078,0.140356
0.020000,24.154011,16.136192,28.895417,7.308822,-7.683307,-42.380981,0.179127
0.020000,24.294009,16.164303,29.038210,7.139641,-8.459043,-38.786786,0.217214
0.020000,24.429292,16.196807,29.177343,6.956646,-9.149716,-34.533667,0.254376
0.020000,24.559544,16.233193,29.312582,6.761958,-9.734445,-29.236429,0.290410
0.020000,24.684536,16.272929,29.443738,6.557792,-10.208284,-23.691957,0.325152
0.020000,24.804119,16.315477,29.570664,6.346336,-10.572802,-18.225890,0.358474
0.020000,24.918224,16.360315,29.693263,6.129941,-10.819756,-12.347707,0.390291
0.020000,25.026849,16.406941,29.811472,5.910429,-10.975561,-7.790256,0.420548
0.020000,25.130044,16.454885,29.925261,5.689443,-11.049336,-3.688744,0.449220
0.020000,25.227911,16.503716,30.034633,5.468639,-11.040183,0.457634,0.476310
0.020000,25.320578,16.553038,30.139609,5.248770,-10.993434,2.337490,0.501835
0.020000,25.408207,16.602501,30.240234,5.031267,-10.875172,5.913060,0.525834
0.020000,25.490966,16.651786,30.336557,4.816141,-10.756273,5.944968,0.548351
0.020000,25.569038,16.700617,30.428642,4.604263,-10.593912,8.118044,0.569442
0.020000,25.642611,16.748751,30.516561,4.395952,-10.415539,8.918681,0.589167
0.020000,25.711867,16.795970,30.600383,4.191075,-10.243873,8.583266,0.607589
0.020000,25.776987,16.842088,30.680180,3.989845,-10.061500,9.118650,0.624769
0.020000,25.838147,16.886943,30.756025,3.792257,-9.879408,9.104627,0.640771
0.020000,25.895511,16.930392,30.827987,3.598103,-9.707669,8.586911,0.655656
0.020000,25.949241,16.972316,30.896137,3.407515,-9.529427,8.912101,0.669482
0.020000,25.999476,17.012600,30.960529,3.219587,-9.396416,6.650594,0.682303
0.020000,26.046361,17.051159,31.021234,3.035253,-9.216683,8.986631,0.694173
0.020000,26.090022,17.087910,31.078303,2.853437,-9.090809,6.293681,0.705141
0.020000,26.130577,17.122782,31.131789,2.674332,-8.955237,6.778635,0.715252
0.020000,26.168134,17.155716,31.181741,2.497569,-8.838175,5.853099,0.724548
0.020000,26.202793,17.186660,31.228203,2.323133,-8.721776,5.819922,0.733067
0.020000,26.234642,17.215564,31.271214,2.150506,-8.631352,4.521225,0.740844
0.020000,26.263766,17.242392,31.310811,1.979846,-8.532994,4.917888,0.747913
0.020000,26.290241,17.267111,31.347032,1.811053,-8.439678,4.665822,0.754302
0.020000,26.314130,17.289689,31.379901,1.643496,-8.377817,3.093007,0.760036
0.020000,26.335494,17.310099,31.409448,1.477321,-8.308766,3.452586,0.765139
0.020000,26.354382,17.328319,31.435692,1.312200,-8.256025,2.637039,0.769632
0.020000,26.370845,17.344334,31.458659,1.148354,-8.192298,3.186336,0.773532
0.020000,26.384922,17.358126,31.478366,0.985339,-8.150758,2.077002,0.776855
0.020000,26.396645,17.369683,31.494828,0.823110,-8.111471,1.964341,0.779615
0.020000,26.406042,17.378992,31.508056,0.661391,-8.085944,1.276354,0.781823
0.020000,26.413137,17.386048,31.518062,0.500333,-8.052905,1.651970,0.783486
0.020000,26.417945,17.390843,31.524852,0.339456,-8.043831,0.453687,0.784611
0.020000,26.420479,17.393374,31.528434,0.179105,-8.017542,1.314456,0.785204
0.020000,26.421244,17.394139,31.529515,0.054080,-6.251267,88.313750,0.785383
0.020000,26.421309,17.394205,31.529608,0.004647,-2.471651,188.980784,0.785398
0.020000,26.421309,17.394205,31.529608,0.000000,-0.232351,111.965020,0.785398
